Dystans (m),Wysokosc (m)
5935.186980878611,1241.546752929688
5995.13836452385,1254.593017578125
6055.089748169088,1262.37060546875
6115.041131814327,1275.951049804688
6174.992515459566,1292.154052734375
6234.943899104804,1320.642333984375
6294.8952827500425,1401.791015625
6354.846666395281,1468.140502929688
6414.798050040519,1480.375732421875
6474.749433685758,1485.059448242188
6534.700817330997,1482.341552734375
6594.652200976235,1472.447998046875
6654.603584621474,1461.432250976562
6714.554968266712,1450.022338867188
6774.50635191195,1429.878540039062
6834.457735557189,1448.109008789062
6894.409119202428,1475.719482421875
6954.360502847666,1499.680908203125
7014.311886492905,1467.051391601562
7074.2632701381435,1406.095092773438
7134.214653783381,1349.51904296875
7194.16603742862,1313.477905273438
7254.117421073858,1280.3369140625
7314.068804719097,1243.096801757812
7374.020188364336,1207.18701171875
7433.971572009574,1183.422729492188
7493.9229556548125,1184.526245117188
7553.874339300051,1167.544555664062
7613.825722945289,1154.606811523438
7673.777106590528,1146.373779296875
7733.728490235767,1140.109008789062
7793.679873881005,1133.763305664062
7853.631257526244,1130.500366210938
7913.5826411714825,1129.754516601562
7973.53402481672,1105.91650390625
8033.485408461959,1050.537231445312
8093.436792107198,969.3905639648438
8153.388175752436,908.3258056640625
8213.339559397675,860.2710571289062
8273.290943042914,816.4839477539062
8333.242326688152,778.4732055664062
8393.19371033339,749.82763671875
8453.145093978628,745.4690551757812
8513.096477623867,762.5155029296875
8573.047861269106,840.0269165039062
8632.999244914345,907.0994262695312
8692.950628559583,943.7161254882812
8752.90201220482,968.6027221679688
8812.85339585006,975.1425170898438
8872.804779495298,1033.27197265625
8932.756163140537,1065.376953125
8992.707546785776,1086.110961914062
9052.658930431013,1075.574584960938
9112.610314076252,1073.520385742188
9172.56169772149,1047.031616210938
9232.51308136673,1044.215698242188
9292.464465011968,1037.67431640625
9352.415848657207,1057.654174804688
9412.367232302444,1074.184692382812
9472.318615947683,1113.219116210938
9532.269999592922,1141.76708984375
9592.22138323816,1153.765991210938
9652.1727668834,1154.525268554688
9712.124150528638,1161.876098632812
9772.075534173875,1161.55419921875
9832.026917819114,1165.236572265625
9891.978301464353,1173.799194335938
9951.929685109591,1183.599853515625
10011.88106875483,1177.773315429688
