Dystans (m),Wysokosc (m),Wezel
0,520.283,1
4.85043,519.528,0
9.70085,518.783,0
14.5513,518.06,0
19.4017,517.369,0
24.2521,516.72,0
29.1026,516.123,0
33.953,515.591,0
38.8034,515.132,0
43.6538,514.758,0
48.5043,514.479,0
53.3547,514.306,0
58.2051,514.249,0
63.0555,514.32,0
67.906,514.527,0
72.7564,514.883,0
77.6068,515.398,0
82.4572,516.082,0
87.3077,516.945,0
92.1581,518,0
97.0085,519.255,0
101.859,520.721,0
106.709,522.41,0
111.56,524.332,0
116.41,526.497,0
121.261,528.915,0
126.111,531.599,1
130.961,534.553,0
135.812,537.766,0
140.662,541.224,0
145.513,544.909,0
150.363,548.808,0
155.214,552.903,0
160.064,557.18,0
164.914,561.623,0
169.765,566.216,0
174.615,570.945,0
179.466,575.792,0
184.316,580.743,0
189.167,585.782,0
194.017,590.894,0
198.867,596.062,0
203.718,601.272,0
208.568,606.508,0
213.419,611.753,0
218.269,616.993,0
223.12,622.212,0
227.97,627.395,0
232.82,632.525,0
237.671,637.588,0
242.521,642.567,0
247.372,647.447,0
252.222,652.213,1
257.073,656.851,0
261.923,661.361,0
266.773,665.743,0
271.624,670,0
276.474,674.133,0
281.325,678.143,0
286.175,682.032,0
291.026,685.802,0
295.876,689.453,0
300.726,692.987,0
305.577,696.407,0
310.427,699.712,0
315.278,702.906,0
320.128,705.989,0
324.979,708.963,0
329.829,711.828,0
334.679,714.588,0
339.53,717.243,0
344.38,719.795,0
349.231,722.245,0
354.081,724.595,0
358.932,726.846,0
363.782,729,0
368.632,731.059,0
373.483,733.023,0
378.333,734.894,1
383.184,736.674,0
388.034,738.369,0
392.884,739.982,0
397.735,741.519,0
402.585,742.984,0
407.436,744.383,0
412.286,745.721,0
417.137,747.002,0
421.987,748.232,0
426.837,749.416,0
431.688,750.558,0
436.538,751.664,0
441.389,752.738,0
446.239,753.786,0
451.09,754.813,0
455.94,755.823,0
460.79,756.821,0
465.641,757.813,0
470.491,758.803,0
475.342,759.797,0
480.192,760.799,0
485.043,761.815,0
489.893,762.849,0
494.743,763.906,0
499.594,764.992,0
504.444,766.111,1
509.295,767.267,0
514.145,768.459,0
518.996,769.684,0
523.846,770.941,0
528.696,772.227,0
533.547,773.539,0
538.397,774.874,0
543.248,776.232,0
548.098,777.609,0
552.949,779.002,0
557.799,780.41,0
562.649,781.831,0
567.5,783.26,0
572.35,784.697,0
577.201,786.139,0
582.051,787.584,0
586.902,789.029,0
591.752,790.471,0
596.602,791.909,0
601.453,793.34,0
606.303,794.761,0
611.154,796.171,0
616.004,797.566,0
620.855,798.945,0
625.705,800.305,0
630.555,801.643,1
635.406,802.959,0
640.256,804.251,0
645.107,805.521,0
649.957,806.77,0
654.807,807.997,0
659.658,809.205,0
664.508,810.393,0
669.359,811.562,0
674.209,812.714,0
679.06,813.848,0
683.91,814.965,0
688.76,816.067,0
693.611,817.154,0
698.461,818.226,0
703.312,819.285,0
708.162,820.331,0
713.013,821.364,0
717.863,822.386,0
722.713,823.398,0
727.564,824.399,0
732.414,825.391,0
737.265,826.374,0
742.115,827.349,0
746.966,828.317,0
751.816,829.279,0
756.666,830.235,1
761.517,831.186,0
766.367,832.13,0
771.218,833.068,0
776.068,833.998,0
780.919,834.919,0
785.769,835.831,0
790.619,836.732,0
795.47,837.622,0
800.32,838.5,0
805.171,839.364,0
810.021,840.214,0
814.872,841.05,0
819.722,841.869,0
824.572,842.671,0
829.423,843.456,0
834.273,844.222,0
839.124,844.968,0
843.974,845.693,0
848.825,846.398,0
853.675,847.08,0
858.525,847.739,0
863.376,848.373,0
868.226,848.983,0
873.077,849.566,0
877.927,850.123,0
882.778,850.652,1
887.628,851.152,0
892.478,851.623,0
897.329,852.064,0
902.179,852.475,0
907.03,852.856,0
911.88,853.205,0
916.73,853.523,0
921.581,853.808,0
926.431,854.061,0
931.282,854.281,0
936.132,854.467,0
940.983,854.619,0
945.833,854.736,0
950.683,854.819,0
955.534,854.865,0
960.384,854.876,0
965.235,854.85,0
970.085,854.787,0
974.936,854.687,0
979.786,854.548,0
984.636,854.371,0
989.487,854.155,0
994.337,853.899,0
999.188,853.604,0
1004.04,853.268,0
1008.89,852.891,1
1013.74,852.473,0
1018.59,852.018,0
1023.44,851.529,0
1028.29,851.011,0
1033.14,850.468,0
1037.99,849.903,0
1042.84,849.321,0
1047.69,848.726,0
1052.54,848.122,0
1057.39,847.513,0
1062.24,846.903,0
1067.09,846.295,0
1071.94,845.695,0
1076.79,845.106,0
1081.64,844.531,0
1086.5,843.976,0
1091.35,843.444,0
1096.2,842.939,0
1101.05,842.466,0
1105.9,842.028,0
1110.75,841.629,0
1115.6,841.273,0
1120.45,840.965,0
1125.3,840.708,0
1130.15,840.507,0
1135,840.365,1
1139.85,840.285,0
1144.7,840.266,0
1149.55,840.304,0
1154.4,840.395,0
1159.25,840.537,0
1164.1,840.725,0
1168.95,840.957,0
1173.8,841.23,0
1178.65,841.539,0
1183.5,841.882,0
1188.35,842.255,0
1193.2,842.655,0
1198.06,843.079,0
1202.91,843.524,0
1207.76,843.985,0
1212.61,844.46,0
1217.46,844.946,0
1222.31,845.438,0
1227.16,845.934,0
1232.01,846.431,0
1236.86,846.925,0
1241.71,847.412,0
1246.56,847.89,0
1251.41,848.355,0
1256.26,848.804,0
1261.11,849.233,1
1265.96,849.64,0
1270.81,850.023,0
1275.66,850.382,0
1280.51,850.715,0
1285.36,851.023,0
1290.21,851.304,0
1295.06,851.557,0
1299.91,851.781,0
1304.76,851.977,0
1309.61,852.142,0
1314.47,852.277,0
1319.32,852.38,0
1324.17,852.451,0
1329.02,852.488,0
1333.87,852.492,0
1338.72,852.46,0
1343.57,852.394,0
1348.42,852.29,0
1353.27,852.15,0
1358.12,851.972,0
1362.97,851.755,0
1367.82,851.498,0
1372.67,851.201,0
1377.52,850.863,0
1382.37,850.483,0
1387.22,850.061,1
1392.07,849.596,0
1396.92,849.091,0
1401.77,848.55,0
1406.62,847.978,0
1411.47,847.379,0
1416.32,846.756,0
1421.17,846.114,0
1426.03,845.456,0
1430.88,844.786,0
1435.73,844.109,0
1440.58,843.429,0
1445.43,842.748,0
1450.28,842.073,0
1455.13,841.405,0
1459.98,840.751,0
1464.83,840.112,0
1469.68,839.494,0
1474.53,838.901,0
1479.38,838.335,0
1484.23,837.803,0
1489.08,837.306,0
1493.93,836.851,0
