Dystans (m),Wysokosc (m),Wezel
0,20.8544,1
16.4691,19.7313,0
32.9382,18.6086,0
49.4073,17.4865,0
65.8764,16.3655,0
82.3455,15.2458,0
98.8146,14.1278,0
115.284,13.0119,0
131.753,11.8984,0
148.222,10.7876,0
164.691,9.67988,0
181.16,8.57558,0
197.629,7.47505,0
214.098,6.37862,0
230.568,5.28664,0
247.037,4.19944,0
263.506,3.11737,0
279.975,2.04077,1
296.444,1.54329,0
312.913,1.06614,0
329.382,0.609137,0
345.851,0.172103,0
362.32,-0.245145,0
378.789,-0.64279,0
395.259,-1.02102,0
411.728,-1.38,0
428.197,-1.71993,0
444.666,-2.04099,0
461.135,-2.34336,0
477.604,-2.62722,0
494.073,-2.89275,0
510.542,-3.14014,0
527.011,-3.36957,0
543.481,-3.58122,0
559.95,-3.77528,0
576.419,-3.95192,0
592.888,-4.11133,0
609.357,-4.25369,0
625.826,-4.37918,0
642.295,-4.48799,0
658.764,-4.5803,0
675.233,-4.65629,0
691.703,-4.71614,0
708.172,-4.76004,0
724.641,-4.78816,0
741.11,-4.8007,0
757.579,-4.79782,0
774.048,-4.77973,0
790.517,-4.74659,0
806.986,-4.69859,0
823.455,-4.63591,0
839.925,-4.55874,0
856.394,-4.46725,0
872.863,-4.36164,0
889.332,-4.24208,0
905.801,-4.10875,0
922.27,-3.96184,0
938.739,-3.80152,0
955.208,-3.62799,0
971.677,-3.44143,0
988.146,-3.24201,0
1004.62,-3.02991,0
1021.08,-2.80533,0
1037.55,-2.56845,0
1054.02,-2.31944,0
1070.49,-2.05849,0
1086.96,-1.78578,0
1103.43,-1.50149,0
1119.9,-1.20581,0
1136.37,-0.898917,0
1152.84,-0.580995,0
1169.31,-0.252226,0
1185.78,0.087207,0
1202.24,0.437122,0
1218.71,0.797338,0
1235.18,1.16767,0
1251.65,1.54794,0
1268.12,1.93796,1
1284.59,2.11058,0
1301.06,2.27034,0
1317.53,2.41741,0
1334,2.55198,0
1350.47,2.67422,0
1366.94,2.78432,0
1383.41,2.88246,0
1399.87,2.96882,0
1416.34,3.04359,0
1432.81,3.10693,0
1449.28,3.15905,0
1465.75,3.20011,0
1482.22,3.23029,0
1498.69,3.24979,0
1515.16,3.25878,0
1531.63,3.25744,0
1548.1,3.24595,0
1564.57,3.2245,0
1581.03,3.19327,0
1597.5,3.15244,0
1613.97,3.10218,0
1630.44,3.04269,0
1646.91,2.97414,0
1663.38,2.89671,0
1679.85,2.81059,0
1696.32,2.71595,0
1712.79,2.61299,0
1729.26,2.50187,0
1745.73,2.38279,0
1762.19,2.25592,0
1778.66,2.12144,0
1795.13,1.97954,0
1811.6,1.83039,0
1828.07,1.67419,0
1844.54,1.5111,0
1861.01,1.34132,0
1877.48,1.16502,0
1893.95,0.982382,0
1910.42,0.793592,0
1926.89,0.598829,0
1943.35,0.398276,0
1959.82,0.192112,0
1976.29,-0.0194797,0
1992.76,-0.236318,0
2009.23,-0.458222,0
2025.7,-0.68501,0
2042.17,-0.9165,0
2058.64,-1.15251,0
2075.11,-1.39286,0
2091.58,-1.63737,0
2108.05,-1.88585,0
2124.51,-2.13814,0
2140.98,-2.39403,0
2157.45,-2.65336,0
2173.92,-2.91593,0
2190.39,-3.18158,0
2206.86,-3.45011,0
2223.33,-3.72135,0
2239.8,-3.99512,0
2256.27,-4.27123,0
2272.74,-4.5495,0
2289.21,-4.82975,0
2305.68,-5.1118,0
2322.14,-5.39547,0
2338.61,-5.68057,0
2355.08,-5.96693,0
2371.55,-6.25437,0
2388.02,-6.54269,0
2404.49,-6.83173,0
2420.96,-7.12129,0
2437.43,-7.4112,0
2453.9,-7.70128,0
2470.37,-7.99134,0
2486.84,-8.28121,0
2503.3,-8.57069,0
