Dystans (m),Wysokosc (m),Wezel
0,20.8544,1
16.4691,19.6577,0
32.9382,18.463,0
49.4073,17.272,0
65.8764,16.0869,0
82.3455,14.9095,0
98.8146,13.7416,0
115.284,12.5854,0
131.753,11.4426,0
148.222,10.3153,0
164.691,9.20527,0
181.16,8.11452,0
197.629,7.04496,0
214.098,5.99852,0
230.568,4.97713,0
247.037,3.98271,0
263.506,3.01718,0
279.975,2.08248,0
296.444,1.18052,0
312.913,0.313247,0
329.382,-0.517426,0
345.851,-1.30957,0
362.32,-2.06126,0
378.789,-2.77056,0
395.259,-3.43555,0
411.728,-4.05431,0
428.197,-4.62491,0
444.666,-5.14542,0
461.135,-5.61391,0
477.604,-6.02847,0
494.073,-6.38715,0
510.542,-6.68804,0
527.011,-6.92921,0
543.481,-7.10873,0
559.95,-7.22467,0
576.419,-7.27512,0
592.888,-7.25814,0
609.357,-7.1718,0
625.826,-7.01419,0
642.295,-6.78337,0
658.764,-6.47742,0
675.233,-6.0944,0
691.703,-5.6324,0
708.172,-5.08949,0
724.641,-4.46374,0
741.11,-3.75323,0
757.579,-2.95602,0
774.048,-2.07019,0
790.517,-1.09382,0
806.986,-0.0249815,0
823.455,1.13826,0
839.925,2.39782,1
856.394,2.09599,0
872.863,1.84826,0
889.332,1.6509,0
905.801,1.50023,0
922.27,1.39252,0
938.739,1.32409,0
955.208,1.29122,0
971.677,1.29021,0
988.146,1.31735,0
1004.62,1.36894,0
1021.08,1.44127,0
1037.55,1.53064,0
1054.02,1.63335,0
1070.49,1.74568,0
1086.96,1.86393,0
1103.43,1.98439,0
1119.9,2.10337,0
1136.37,2.21716,0
1152.84,2.32205,0
1169.31,2.41433,0
1185.78,2.4903,0
1202.24,2.54626,0
1218.71,2.5785,0
1235.18,2.58332,0
1251.65,2.557,0
1268.12,2.49585,0
1284.59,2.39616,0
1301.06,2.25422,0
1317.53,2.06634,0
1334,1.82879,1
1350.47,1.92173,0
1366.94,2.00225,0
1383.41,2.07057,0
1399.87,2.12687,0
1416.34,2.17136,0
1432.81,2.20422,0
1449.28,2.22567,0
1465.75,2.23588,0
1482.22,2.23507,0
1498.69,2.22343,0
1515.16,2.20115,0
1531.63,2.16843,0
1548.1,2.12548,0
1564.57,2.07247,0
1581.03,2.00962,0
1597.5,1.93712,0
1613.97,1.85517,0
1630.44,1.76396,0
1646.91,1.66369,1
1663.38,1.56308,0
1679.85,1.47114,0
1696.32,1.38768,0
1712.79,1.31251,0
1729.26,1.24544,0
1745.73,1.18628,0
1762.19,1.13484,0
1778.66,1.09092,0
1795.13,1.05435,0
1811.6,1.02494,0
1828.07,1.00248,0
1844.54,0.986799,0
1861.01,0.977701,0
1877.48,0.974996,0
1893.95,0.978495,0
1910.42,0.98801,0
1926.89,1.00335,0
1943.35,1.02433,0
1959.82,1.05075,0
1976.29,1.08243,0
1992.76,1.11918,0
2009.23,1.1608,0
2025.7,1.20712,0
2042.17,1.25793,0
2058.64,1.31305,0
2075.11,1.3723,0
2091.58,1.43547,0
2108.05,1.50239,0
2124.51,1.57285,0
2140.98,1.64668,0
