Dystans (m),Wysokosc (m),Wezel
0,520.283,1
4.85043,524.417,0
9.70085,528.509,0
14.5513,532.558,0
19.4017,536.565,0
24.2521,540.531,0
29.1026,544.455,0
33.953,548.337,0
38.8034,552.179,0
43.6538,555.981,0
48.5043,559.742,0
53.3547,563.463,0
58.2051,567.145,0
63.0555,570.787,0
67.906,574.39,0
72.7564,577.955,0
77.6068,581.481,0
82.4572,584.969,0
87.3077,588.42,0
92.1581,591.833,0
97.0085,595.208,0
101.859,598.547,0
106.709,601.85,0
111.56,605.116,0
116.41,608.346,0
121.261,611.54,0
126.111,614.699,0
130.961,617.823,0
135.812,620.912,0
140.662,623.967,0
145.513,626.987,0
150.363,629.973,0
155.214,632.926,0
160.064,635.845,0
164.914,638.731,0
169.765,641.585,0
174.615,644.406,0
179.466,647.194,0
184.316,649.951,0
189.167,652.675,0
194.017,655.369,0
198.867,658.031,0
203.718,660.662,0
208.568,663.263,0
213.419,665.833,0
218.269,668.374,0
223.12,670.884,0
227.97,673.365,0
232.82,675.816,0
237.671,678.239,0
242.521,680.632,0
247.372,682.998,0
252.222,685.335,0
257.073,687.644,0
261.923,689.925,0
266.773,692.178,0
271.624,694.405,0
276.474,696.604,0
281.325,698.777,0
286.175,700.923,0
291.026,703.043,0
295.876,705.137,0
300.726,707.205,0
305.577,709.248,0
310.427,711.266,0
315.278,713.258,0
320.128,715.226,0
324.979,717.169,0
329.829,719.088,0
334.679,720.982,0
339.53,722.853,0
344.38,724.701,0
349.231,726.525,0
354.081,728.325,0
358.932,730.103,0
363.782,731.859,0
368.632,733.591,0
373.483,735.302,0
378.333,736.99,0
383.184,738.657,0
388.034,740.302,0
392.884,741.926,0
397.735,743.529,0
402.585,745.11,0
407.436,746.672,0
412.286,748.212,0
417.137,749.733,0
421.987,751.233,0
426.837,752.713,0
431.688,754.174,0
436.538,755.616,0
441.389,757.038,0
446.239,758.441,0
451.09,759.826,0
455.94,761.191,0
460.79,762.539,0
465.641,763.868,0
470.491,765.179,0
475.342,766.473,0
480.192,767.749,0
485.043,769.007,0
489.893,770.248,0
494.743,771.473,0
499.594,772.68,0
504.444,773.871,0
509.295,775.045,0
514.145,776.203,0
518.996,777.345,0
523.846,778.471,0
528.696,779.582,0
533.547,780.677,0
538.397,781.756,0
543.248,782.821,0
548.098,783.87,0
552.949,784.905,0
557.799,785.925,0
562.649,786.93,0
567.5,787.921,0
572.35,788.899,0
577.201,789.862,0
582.051,790.811,0
586.902,791.747,0
591.752,792.67,0
596.602,793.579,0
601.453,794.475,0
606.303,795.358,0
611.154,796.228,0
616.004,797.086,1
620.855,797.931,0
625.705,798.764,0
630.555,799.585,0
635.406,800.394,0
640.256,801.191,0
645.107,801.976,0
649.957,802.75,0
654.807,803.512,0
659.658,804.263,0
664.508,805.003,0
669.359,805.732,0
674.209,806.451,0
679.06,807.158,0
683.91,807.856,0
688.76,808.542,0
693.611,809.219,0
698.461,809.885,0
703.312,810.542,0
708.162,811.189,0
713.013,811.826,0
717.863,812.453,0
722.713,813.071,0
727.564,813.68,0
732.414,814.279,0
737.265,814.87,0
742.115,815.451,0
746.966,816.024,0
751.816,816.588,0
756.666,817.144,0
761.517,817.691,0
766.367,818.23,0
771.218,818.761,0
776.068,819.284,0
780.919,819.798,0
785.769,820.305,0
790.619,820.805,0
795.47,821.296,0
800.32,821.78,0
805.171,822.257,0
810.021,822.726,0
814.872,823.189,0
819.722,823.644,0
824.572,824.092,0
829.423,824.533,0
834.273,824.968,0
839.124,825.396,0
843.974,825.817,0
848.825,826.232,0
853.675,826.641,0
858.525,827.043,0
863.376,827.439,0
868.226,827.829,0
