Dystans (m),Wysokosc (m),Wezel
0,520.283,1
4.85043,520.491,0
9.70085,520.703,0
14.5513,520.925,0
19.4017,521.161,0
24.2521,521.414,0
29.1026,521.691,0
33.953,521.994,0
38.8034,522.33,0
43.6538,522.702,0
48.5043,523.114,0
53.3547,523.573,0
58.2051,524.081,0
63.0555,524.644,0
67.906,525.266,0
72.7564,525.951,0
77.6068,526.705,0
82.4572,527.532,0
87.3077,528.436,0
92.1581,529.422,0
97.0085,530.494,0
101.859,531.657,0
106.709,532.916,0
111.56,534.274,0
116.41,535.737,0
121.261,537.31,0
126.111,538.996,0
130.961,540.8,0
135.812,542.727,0
140.662,544.782,0
145.513,546.968,0
150.363,549.291,0
155.214,551.755,0
160.064,554.364,0
164.914,557.123,0
169.765,560.037,0
174.615,563.11,1
179.466,566.345,0
184.316,569.734,0
189.167,573.27,0
194.017,576.942,0
198.867,580.743,0
203.718,584.662,0
208.568,588.693,0
213.419,592.825,0
218.269,597.049,0
223.12,601.357,0
227.97,605.74,0
232.82,610.189,0
237.671,614.696,0
242.521,619.25,0
247.372,623.844,0
252.222,628.468,0
257.073,633.114,0
261.923,637.772,0
266.773,642.435,0
271.624,647.092,0
276.474,651.735,0
281.325,656.355,0
286.175,660.944,0
291.026,665.492,0
295.876,669.991,0
300.726,674.431,0
305.577,678.804,0
310.427,683.101,0
315.278,687.313,0
320.128,691.43,0
324.979,695.445,0
329.829,699.349,0
334.679,703.132,0
339.53,706.785,0
344.38,710.3,0
349.231,713.668,1
354.081,716.882,0
358.932,719.945,0
363.782,722.862,0
368.632,725.637,0
373.483,728.277,0
378.333,730.785,0
383.184,733.168,0
388.034,735.429,0
392.884,737.574,0
397.735,739.608,0
402.585,741.535,0
407.436,743.362,0
412.286,745.092,0
417.137,746.731,0
421.987,748.284,0
426.837,749.756,0
431.688,751.152,0
436.538,752.476,0
441.389,753.734,0
446.239,754.931,0
451.09,756.071,0
455.94,757.161,0
460.79,758.204,0
465.641,759.206,0
470.491,760.171,0
475.342,761.106,0
480.192,762.014,0
485.043,762.901,0
489.893,763.771,0
494.743,764.63,0
499.594,765.483,0
504.444,766.335,0
509.295,767.19,0
514.145,768.054,0
518.996,768.931,0
523.846,769.827,1
528.696,770.746,0
533.547,771.688,0
538.397,772.652,0
543.248,773.638,0
548.098,774.645,0
552.949,775.673,0
557.799,776.72,0
562.649,777.786,0
567.5,778.87,0
572.35,779.972,0
577.201,781.091,0
582.051,782.227,0
586.902,783.378,0
591.752,784.544,0
596.602,785.725,0
601.453,786.92,0
606.303,788.127,0
611.154,789.347,0
616.004,790.579,0
620.855,791.822,0
625.705,793.076,0
630.555,794.339,0
635.406,795.612,0
640.256,796.892,0
645.107,798.181,0
649.957,799.477,0
654.807,800.779,0
659.658,802.088,0
664.508,803.401,0
669.359,804.719,0
674.209,806.041,0
679.06,807.366,0
683.91,808.694,0
688.76,810.023,0
693.611,811.354,0
698.461,812.685,1
703.312,814.016,0
708.162,815.346,0
713.013,816.673,0
717.863,817.996,0
722.713,819.314,0
727.564,820.625,0
732.414,821.929,0
737.265,823.223,0
742.115,824.506,0
746.966,825.778,0
751.816,827.037,0
756.666,828.281,0
761.517,829.51,0
766.367,830.722,0
771.218,831.915,0
776.068,833.089,0
780.919,834.242,0
785.769,835.373,0
790.619,836.48,0
795.47,837.562,0
800.32,838.619,0
805.171,839.648,0
810.021,840.648,0
814.872,841.618,0
819.722,842.557,0
824.572,843.463,0
829.423,844.336,0
834.273,845.173,0
839.124,845.974,0
