Dystans (m),Wysokosc (m),Wezel
0,1521.94,1
59.9514,1593.55,0
119.903,1659.03,0
179.854,1718.68,0
239.806,1772.81,0
299.757,1821.7,0
359.708,1865.63,0
419.66,1904.88,0
479.611,1939.7,0
539.562,1970.35,0
599.514,1997.06,0
659.465,2020.07,0
719.417,2039.59,0
779.368,2055.85,0
839.319,2069.04,0
899.271,2079.38,0
959.222,2087.03,0
1019.17,2092.19,0
1079.12,2095.04,0
1139.08,2095.73,0
1199.03,2094.43,0
1258.98,2091.29,0
1318.93,2086.45,0
1378.88,2080.06,0
1438.83,2072.25,0
1498.78,2063.14,0
1558.74,2052.86,0
1618.69,2041.53,0
1678.64,2029.24,0
1738.59,2016.11,0
1798.54,2002.23,0
1858.49,1987.7,0
1918.44,1972.61,0
1978.4,1957.04,0
2038.35,1941.07,0
2098.3,1924.77,0
2158.25,1908.22,0
2218.2,1891.48,0
2278.15,1874.62,0
2338.1,1857.69,0
2398.06,1840.74,0
2458.01,1823.84,0
2517.96,1807.02,0
2577.91,1790.32,0
2637.86,1773.8,0
2697.81,1757.49,0
2757.76,1741.42,0
2817.72,1725.63,0
2877.67,1710.13,0
2937.62,1694.97,0
2997.57,1680.16,0
3057.52,1665.73,0
3117.47,1651.69,0
3177.42,1638.06,0
3237.37,1624.86,0
3297.33,1612.09,0
3357.28,1599.77,1
3417.23,1587.91,0
3477.18,1576.52,0
3537.13,1565.59,0
3597.08,1555.13,0
3657.03,1545.15,0
3716.99,1535.64,0
3776.94,1526.61,0
3836.89,1518.05,0
3896.84,1509.95,0
3956.79,1502.33,0
4016.74,1495.16,0
4076.69,1488.44,0
4136.65,1482.17,0
4196.6,1476.33,0
4256.55,1470.92,0
4316.5,1465.92,0
4376.45,1461.34,0
4436.4,1457.14,0
4496.35,1453.33,0
4556.31,1449.9,0
4616.26,1446.81,0
4676.21,1444.07,0
4736.16,1441.67,0
4796.11,1439.57,0
4856.06,1437.78,0
4916.01,1436.28,0
4975.96,1435.04,0
5035.92,1434.07,0
5095.87,1433.33,0
5155.82,1432.82,0
5215.77,1432.52,0
5275.72,1432.42,0
5335.67,1432.49,0
5395.62,1432.73,0
5455.58,1433.12,0
5515.53,1433.63,0
5575.48,1434.27,0
5635.43,1435.01,0
5695.38,1435.84,0
5755.33,1436.74,0
5815.28,1437.69,0
5875.24,1438.69,0
5935.19,1439.73,0
5995.14,1440.77,0
6055.09,1441.82,0
6115.04,1442.86,0
6174.99,1443.88,0
6234.94,1444.86,0
6294.9,1445.79,0
