Dystans (m),Wysokosc (m),Wezel
0,20.8544,1
16.4691,-6.17589,0
32.9382,-29.0132,0
49.4073,-48.0745,0
65.8764,-63.7454,0
82.3455,-76.382,0
98.8146,-86.3128,0
115.284,-93.8403,0
131.753,-99.2428,0
148.222,-102.776,0
164.691,-104.673,0
181.16,-105.148,0
197.629,-104.397,0
214.098,-102.598,0
230.568,-99.9119,0
247.037,-96.4858,0
263.506,-92.4521,0
279.975,-87.9301,0
296.444,-83.027,0
312.913,-77.8387,0
329.382,-72.4508,0
345.851,-66.9391,0
362.32,-61.3705,0
378.789,-55.8037,0
395.259,-50.29,0
411.728,-44.8737,0
428.197,-39.5925,0
444.666,-34.4787,0
461.135,-29.5589,0
477.604,-24.8552,0
494.073,-20.3851,0
510.542,-16.1623,0
527.011,-12.1969,0
543.481,-8.49556,0
559.95,-5.06241,0
576.419,-1.89883,0
592.888,0.996042,1
609.357,3.62505,0
625.826,5.99279,0
642.295,8.10537,0
658.764,9.9702,0
675.233,11.5958,0
691.703,12.9916,0
708.172,14.1679,0
724.641,15.1354,0
741.11,15.9055,0
757.579,16.4898,0
774.048,16.9001,0
790.517,17.1485,0
806.986,17.247,0
823.455,17.2077,0
839.925,17.0424,0
856.394,16.7629,0
872.863,16.3805,0
889.332,15.9066,0
905.801,15.3519,0
922.27,14.727,0
938.739,14.0419,0
955.208,13.3063,0
971.677,12.5294,0
988.146,11.7199,0
1004.62,10.8862,0
1021.08,10.0359,0
1037.55,9.17649,0
1054.02,8.31467,0
1070.49,7.45678,0
1086.96,6.60865,0
1103.43,5.77563,0
1119.9,4.96258,0
1136.37,4.17393,0
1152.84,3.41362,0
1169.31,2.68518,0
1185.78,1.99168,1
1202.24,1.33582,0
1218.71,0.719862,0
1235.18,0.145725,0
1251.65,-0.385056,0
1268.12,-0.871282,0
1284.59,-1.31208,0
1301.06,-1.7069,0
1317.53,-2.05545,0
1334,-2.35774,0
1350.47,-2.61403,0
1366.94,-2.82479,0
1383.41,-2.99074,0
1399.87,-3.11277,0
1416.34,-3.19199,0
1432.81,-3.22964,0
1449.28,-3.22711,0
1465.75,-3.18596,0
1482.22,-3.10782,0
1498.69,-2.99445,0
1515.16,-2.8477,0
1531.63,-2.66948,0
1548.1,-2.46177,0
1564.57,-2.22658,0
1581.03,-1.96599,0
1597.5,-1.68206,0
1613.97,-1.37691,0
