Dystans (m),Wysokosc (m),Wezel
0,1521.94,1
59.9514,-6.02774e+08,0
119.903,-1.1106e+09,0
179.854,-1.53394e+09,0
239.806,-1.88229e+09,0
299.757,-2.16428e+09,0
359.708,-2.38773e+09,0
419.66,-2.55972e+09,0
479.611,-2.68666e+09,0
539.562,-2.77432e+09,0
599.514,-2.8279e+09,0
659.465,-2.85209e+09,0
719.417,-2.85108e+09,0
779.368,-2.82864e+09,0
839.319,-2.78812e+09,0
899.271,-2.73253e+09,0
959.222,-2.66451e+09,0
1019.17,-2.58642e+09,0
1079.12,-2.50036e+09,0
1139.08,-2.40816e+09,0
1199.03,-2.31142e+09,0
1258.98,-2.21154e+09,0
1318.93,-2.10975e+09,0
1378.88,-2.00711e+09,0
1438.83,-1.90451e+09,0
1498.78,-1.80272e+09,0
1558.74,-1.7024e+09,0
1618.69,-1.60409e+09,0
1678.64,-1.50824e+09,0
1738.59,-1.41522e+09,0
1798.54,-1.3253e+09,0
1858.49,-1.23872e+09,0
1918.44,-1.15565e+09,0
1978.4,-1.07618e+09,0
2038.35,-1.00041e+09,0
2098.3,-9.28351e+08,0
2158.25,-8.6001e+08,0
2218.2,-7.95357e+08,0
2278.15,-7.34341e+08,0
2338.1,-6.76888e+08,0
2398.06,-6.2291e+08,0
2458.01,-5.72304e+08,0
2517.96,-5.24958e+08,0
2577.91,-4.8075e+08,0
2637.86,-4.39553e+08,0
2697.81,-4.01235e+08,0
2757.76,-3.65662e+08,0
2817.72,-3.32698e+08,0
2877.67,-3.02208e+08,0
2937.62,-2.74056e+08,0
2997.57,-2.48111e+08,0
3057.52,-2.24241e+08,0
3117.47,-2.0232e+08,0
3177.42,-1.82224e+08,0
3237.37,-1.63834e+08,0
3297.33,-1.47035e+08,0
3357.28,-1.31717e+08,0
3417.23,-1.17774e+08,0
3477.18,-1.05107e+08,0
3537.13,-9.36185e+07,0
3597.08,-8.32196e+07,0
3657.03,-7.38244e+07,0
3716.99,-6.53523e+07,0
3776.94,-5.77274e+07,0
3836.89,-5.08788e+07,0
3896.84,-4.474e+07,0
3956.79,-3.92487e+07,0
4016.74,-3.43472e+07,0
4076.69,-2.99817e+07,0
4136.65,-2.61023e+07,0
4196.6,-2.26628e+07,0
4256.55,-1.96208e+07,0
4316.5,-1.69368e+07,0
4376.45,-1.45748e+07,0
4436.4,-1.25017e+07,0
4496.35,-1.06872e+07,0
4556.31,-9.10347e+06,0
4616.26,-7.72541e+06,0
4676.21,-6.53001e+06,0
4736.16,-5.49648e+06,0
4796.11,-4.60597e+06,0
4856.06,-3.84147e+06,0
4916.01,-3.18766e+06,0
4975.96,-2.63078e+06,0
5035.92,-2.15851e+06,0
5095.87,-1.75983e+06,0
5155.82,-1.42493e+06,0
5215.77,-1.14508e+06,0
5275.72,-912574,0
5335.67,-720592,0
5395.62,-563138,0
5455.58,-434957,0
5515.53,-331459,0
5575.48,-248652,0
5635.43,-183077,0
5695.38,-131754,0
5755.33,-92125.3,0
5815.28,-62007.6,0
5875.24,-39549.7,0
5935.19,-23191.1,0
5995.14,-11625.2,0
6055.09,-3767.14,0
6115.04,1275.95,1
6174.99,4231.62,0
6234.94,5685.71,0
6294.9,6103.42,0
6354.85,5848.11,0
6414.8,5197.7,0
6474.75,4359.26,0
6534.7,3481.64,0
6594.65,2666.5,0
6654.6,1977.82,0
6714.55,1450.02,1
6774.51,1094.98,0
6834.46,907.826,0
6894.41,871.853,0
6954.36,962.563,0
7014.31,1150.94,0
7074.26,1406.1,1
7134.21,1697.29,0
7194.17,1995.53,0
7254.12,2274.67,0
7314.07,2512.22,0
7374.02,2689.8,0
7433.97,2793.4,0
7493.92,2813.37,0
7553.87,2744.28,0
7613.83,2584.71,0
7673.78,2336.84,0
7733.73,2006.07,0
7793.68,1600.5,0
7853.63,1130.5,1
7913.58,608.196,0
7973.53,46.9639,0
8033.49,-539.016,0
8093.44,-1135.2,0
8153.39,-1727.11,0
8213.34,-2300.65,0
8273.29,-2842.48,0
8333.24,-3340.23,0
8393.19,-3782.8,0
8453.15,-4160.49,0
8513.1,-4465.13,0
8573.05,-4690.22,0
8633,-4830.96,0
8692.95,-4884.23,0
8752.9,-4848.64,0
8812.85,-4724.41,0
8872.8,-4513.33,0
8932.76,-4218.67,0
8992.71,-3845.01,0
9052.66,-3398.16,0
9112.61,-2884.94,0
9172.56,-2313.1,0
9232.51,-1691.11,0
9292.46,-1027.97,0
9352.42,-333.097,0
9412.37,383.867,0
9472.32,1113.22,1
9532.27,1845.34,0
9592.22,2570.84,0
9652.17,3280.67,0
9712.12,3966.3,0
9772.08,4619.73,0
9832.03,5233.7,0
9891.98,5801.66,0
9951.93,6317.91,0
10011.9,6777.61,0
10071.8,7176.85,0
10131.8,7512.63,0
10191.7,7782.89,0
10251.7,7986.54,0
10311.6,8123.36,0
10371.6,8194.05,0
10431.5,8200.15,0
10491.5,8144.02,0
10551.4,8028.74,0
10611.4,7858.1,0
10671.3,7636.49,0
10731.3,7368.82,0
10791.2,7060.5,0
10851.2,6717.29,0
10911.2,6345.25,0
10971.1,5950.65,0
11031.1,5539.9,0
11091,5119.45,0
11151,4695.72,0
11210.9,4275.01,0
11270.9,3863.46,0
11330.8,3466.95,0
11390.8,3091.04,0
11450.7,2740.95,0
11510.7,2421.46,0
11570.6,2136.88,0
11630.6,1891.05,0
11690.5,1687.24,0
11750.5,1528.19,1
11810.4,1416.06,1
11870.4,1352.43,0
11930.3,1338.28,0
11990.3,1374.01,0
12050.2,1459.46,0
12110.2,1593.88,0
12170.1,1776.01,0
12230.1,2004.05,0
12290,2275.74,0
12350,2588.36,0
12409.9,2938.77,0
12469.9,3323.49,0
12529.8,3738.68,0
12589.8,4180.26,0
12649.7,4643.9,0
12709.7,5125.1,0
12769.6,5619.22,0
12829.6,6121.56,0
12889.5,6627.39,0
12949.5,7131.98,0
13009.5,7630.7,0
13069.4,8118.99,0
13129.4,8592.5,0
13189.3,9047.04,0
13249.3,9478.66,0
13309.2,9883.68,0
13369.2,10258.7,0
13429.1,10600.8,0
13489.1,10907.1,0
13549,11175.3,0
13609,11403.6,0
13668.9,11590.3,0
13728.9,11734.4,0
13788.8,11834.9,0
13848.8,11891.7,0
13908.7,11904.8,0
13968.7,11874.5,0
14028.6,11801.8,0
14088.6,11687.8,0
14148.5,11534,0
14208.5,11342.3,0
14268.4,11114.7,0
14328.4,10853.7,0
14388.3,10561.9,0
14448.3,10242.1,0
14508.2,9897.25,0
14568.2,9530.61,0
14628.1,9145.38,0
14688.1,8744.86,0
14748,8332.42,0
14808,7911.42,0
14867.9,7485.18,0
14927.9,7056.97,0
14987.8,6629.98,0
15047.8,6207.25,0
15107.7,5791.7,0
15167.7,5386.08,0
15227.7,4992.92,0
15287.6,4614.55,0
15347.6,4253.08,0
15407.5,3910.36,0
15467.5,3587.99,0
15527.4,3287.29,0
15587.4,3009.34,0
15647.3,2754.91,0
15707.3,2524.51,0
15767.2,2318.41,0
15827.2,2136.56,0
15887.1,1978.72,0
15947.1,1844.35,0
16007,1732.72,0
16067,1642.88,0
16126.9,1573.68,0
16186.9,1523.81,0
16246.8,1491.8,0
16306.8,1476.06,0
16366.7,1474.9,0
16426.7,1486.54,0
16486.6,1509.17,1
16546.6,1540.93,0
16606.5,1579.99,1
16666.5,1624.52,0
16726.4,1672.76,0
16786.4,1723,0
16846.3,1773.65,0
16906.3,1823.22,0
16966.2,1870.37,0
17026.2,1913.9,0
17086.1,1952.77,0
17146.1,1986.14,0
17206,2013.33,0
17266,2033.87,1
17325.9,2047.48,0
17385.9,2054.08,0
17445.9,2053.79,0
17505.8,2046.89,0
17565.8,2033.87,0
17625.7,2015.37,0
17685.7,1992.18,0
17745.6,1965.25,0
17805.6,1935.61,0
17865.5,1904.4,0
17925.5,1872.82,0
17985.4,1842.11,0
18045.4,1813.53,0
18105.3,1788.31,0
18165.3,1767.62,0
18225.2,1752.58,0
18285.2,1744.17,1
18345.1,1743.22,0
18405.1,1750.39,0
18465,1766.16,0
18525,1790.72,0
18584.9,1824.05,0
18644.9,1865.8,0
18704.8,1915.34,0
18764.8,1971.69,0
18824.7,2033.54,0
18884.7,2099.22,0
18944.6,2166.71,0
19004.6,2233.61,0
19064.5,2297.18,0
19124.5,2354.31,0
19184.4,2401.58,0
19244.4,2435.23,1
19304.3,2451.22,0
19364.3,2445.27,1
19424.2,2412.86,0
19484.2,2349.32,0
19544.2,2249.85,0
19604.1,2109.58,0
19664.1,1923.67,0
19724,1687.31,0
19784,1395.88,0
19843.9,1044.94,0
19903.9,630.396,0
19963.8,148.527,0
20023.8,-403.893,0
20083.7,-1029.51,0
20143.7,-1730.29,0
20203.6,-2507.44,0
20263.6,-3361.27,0
20323.5,-4291.15,0
20383.5,-5295.38,0
20443.4,-6371.1,0
20503.4,-7514.21,0
20563.3,-8719.3,0
20623.3,-9979.52,0
20683.2,-11286.6,0
20743.2,-12630.7,0
20803.1,-14000.4,0
20863.1,-15382.5,0
20923,-16762.5,0
20983,-18124,0
21042.9,-19448.7,0
21102.9,-20717,0
21162.8,-21907.4,0
21222.8,-22997,0
21282.7,-23961.2,0
21342.7,-24774,0
21402.6,-25408,0
21462.6,-25834.5,0
21522.5,-26024,0
21582.5,-25945.6,0
21642.4,-25567.9,0
21702.4,-24859,0
21762.4,-23786.4,0
21822.3,-22317.7,0
21882.3,-20420.6,0
21942.2,-18063.1,0
22002.2,-15214.2,0
22062.1,-11843.7,0
22122.1,-7922.8,0
22182,-3424.46,0
22242,1676.32,1
22301.9,7402.13,0
22361.9,13772.8,0
22421.8,20804.9,0
22481.8,28511.6,0
22541.7,36902,0
22601.7,45981,0
22661.6,55748.9,0
22721.6,66200.8,0
22781.5,77326.7,0
22841.5,89110.6,0
22901.4,101531,0
22961.4,114559,0
23021.3,128161,0
23081.3,142295,0
23141.2,156912,0
23201.2,171959,0
23261.1,187371,0
23321.1,203079,0
23381,219007,0
23441,235069,0
23500.9,251176,0
23560.9,267229,0
23620.8,283124,0
23680.8,298749,0
23740.7,313989,0
23800.7,328722,0
23860.7,342820,0
23920.6,356152,0
23980.6,368585,0
24040.5,379980,0
24100.5,390199,0
24160.4,399102,0
24220.4,406548,0
24280.3,412399,0
24340.3,416518,0
24400.2,418771,0
24460.2,419032,0
24520.1,417177,0
24580.1,413091,0
24640,406669,0
24700,397814,0
24759.9,386443,0
24819.9,372485,0
24879.8,355883,0
24939.8,336599,0
24999.7,314607,0
25059.7,289906,0
25119.6,262511,0
25179.6,232461,0
25239.5,199814,0
25299.5,164657,0
25359.4,127095,0
25419.4,87264.8,0
25479.3,45324.2,0
25539.3,1459.85,1
25599.2,-44115.8,0
25659.2,-91163.5,0
25719.1,-139418,0
25779.1,-188586,0
25839,-238353,0
25899,-288376,0
25958.9,-338292,0
26018.9,-387714,0
26078.9,-436238,0
26138.8,-483441,0
26198.8,-528886,0
26258.7,-572124,0
26318.7,-612698,0
26378.6,-650146,0
26438.6,-684003,0
26498.5,-713811,0
26558.5,-739115,0
26618.4,-759477,0
26678.4,-774473,0
26738.3,-783705,0
26798.3,-786802,0
26858.2,-783428,0
26918.2,-773285,0
26978.1,-756123,0
27038.1,-731744,0
27098,-700007,0
27158,-660834,0
27217.9,-614218,0
27277.9,-560225,0
27337.8,-498999,0
27397.8,-430771,0
27457.7,-355856,0
27517.7,-274662,0
27577.6,-187689,0
27637.6,-95532.4,0
27697.5,1117.04,1
27757.5,101475,0
27817.4,204663,0
27877.4,309716,0
27937.3,415581,0
27997.3,521130,0
28057.2,625162,0
28117.2,726419,0
28177.2,823593,0
28237.1,915342,0
28297.1,1.0003e+06,0
28357,1.07712e+06,0
28417,1.14445e+06,0
28476.9,1.20099e+06,0
28536.9,1.2455e+06,0
28596.8,1.27684e+06,0
28656.8,1.29399e+06,0
28716.7,1.29607e+06,0
28776.7,1.28237e+06,0
28836.6,1.2524e+06,0
28896.6,1.20591e+06,0
28956.5,1.14289e+06,0
29016.5,1.06368e+06,0
29076.4,968901,0
29136.4,859542,0
29196.3,736965,0
29256.3,602915,0
29316.2,459536,0
29376.2,309370,0
29436.1,155345,0
29496.1,755.633,1
29556,-150775,0
29616,-295350,0
29675.9,-428872,0
29735.9,-547147,0
29795.8,-646010,0
29855.8,-721485,0
29915.7,-769987,0
29975.7,-788556,0
30035.6,-775156,0
30095.6,-729010,0
30155.5,-651014,0
30215.5,-544214,0
30275.4,-414358,0
30335.4,-270548,0
30395.4,-125980,0
30455.3,1200.33,1
30515.3,86917.4,0
30575.2,100052,0
30635.2,1176.12,1
