Dystans (m),Wysokosc (m),Wezel
0,20.8544,1
16.4691,20.5857,0
32.9382,20.3198,0
49.4073,20.0569,0
65.8764,19.7969,0
82.3455,19.5398,0
98.8146,19.2855,0
115.284,19.0341,0
131.753,18.7855,0
148.222,18.5397,0
164.691,18.2966,0
181.16,18.0564,0
197.629,17.8188,0
214.098,17.584,0
230.568,17.3519,0
247.037,17.1224,0
263.506,16.8956,0
279.975,16.6715,0
296.444,16.4499,0
312.913,16.231,0
329.382,16.0146,0
345.851,15.8008,0
362.32,15.5895,0
378.789,15.3807,0
395.259,15.1745,0
411.728,14.9707,0
428.197,14.7693,0
444.666,14.5704,0
461.135,14.374,0
477.604,14.1799,0
494.073,13.9882,0
510.542,13.7989,0
527.011,13.6119,0
543.481,13.4272,0
559.95,13.2449,0
576.419,13.0648,0
592.888,12.887,0
609.357,12.7115,0
625.826,12.5381,0
642.295,12.367,0
658.764,12.1981,0
675.233,12.0314,0
691.703,11.8668,0
708.172,11.7044,0
724.641,11.544,0
741.11,11.3858,0
757.579,11.2297,0
774.048,11.0756,0
790.517,10.9236,0
806.986,10.7736,0
823.455,10.6257,0
839.925,10.4797,0
856.394,10.3357,0
872.863,10.1937,0
889.332,10.0536,0
905.801,9.9154,0
922.27,9.77915,0
938.739,9.64479,0
955.208,9.51231,0
971.677,9.38168,0
988.146,9.2529,0
1004.62,9.12594,0
1021.08,9.00078,0
1037.55,8.87742,0
1054.02,8.75583,0
1070.49,8.636,0
1086.96,8.51791,0
1103.43,8.40155,0
1119.9,8.28689,0
1136.37,8.17392,0
1152.84,8.06263,0
1169.31,7.953,0
1185.78,7.84502,0
1202.24,7.73866,0
1218.71,7.63391,0
1235.18,7.53076,0
1251.65,7.42918,0
1268.12,7.32917,0
1284.59,7.23071,0
1301.06,7.13378,0
1317.53,7.03837,0
1334,6.94446,0
1350.47,6.85204,0
1366.94,6.76109,0
1383.41,6.67159,0
1399.87,6.58353,0
1416.34,6.4969,0
1432.81,6.41168,0
1449.28,6.32786,0
1465.75,6.24541,0
1482.22,6.16433,0
1498.69,6.08461,0
1515.16,6.00622,0
1531.63,5.92915,0
1548.1,5.85339,0
1564.57,5.77892,0
1581.03,5.70573,0
1597.5,5.6338,0
1613.97,5.56313,0
1630.44,5.49369,0
1646.91,5.42547,0
1663.38,5.35846,0
1679.85,5.29265,0
1696.32,5.22801,0
1712.79,5.16454,0
1729.26,5.10222,0
1745.73,5.04105,0
1762.19,4.98099,0
1778.66,4.92205,0
1795.13,4.86421,0
1811.6,4.80745,0
1828.07,4.75177,0
1844.54,4.69714,0
1861.01,4.64356,0
1877.48,4.59101,0
1893.95,4.53948,0
1910.42,4.48895,0
1926.89,4.43942,0
1943.35,4.39087,0
1959.82,4.34329,0
1976.29,4.29666,0
1992.76,4.25098,0
2009.23,4.20623,0
2025.7,4.16239,0
2042.17,4.11946,0
2058.64,4.07742,0
2075.11,4.03627,0
2091.58,3.99598,1
2108.05,3.95655,0
2124.51,3.91796,0
2140.98,3.88021,0
2157.45,3.84328,0
2173.92,3.80716,0
2190.39,3.77183,0
2206.86,3.7373,0
2223.33,3.70353,0
2239.8,3.67053,0
2256.27,3.63828,0
2272.74,3.60677,0
2289.21,3.57599,0
2305.68,3.54593,0
2322.14,3.51657,0
2338.61,3.48791,0
2355.08,3.45994,0
2371.55,3.43263,0
2388.02,3.40599,0
2404.49,3.38001,0
2420.96,3.35466,0
2437.43,3.32994,0
2453.9,3.30585,0
2470.37,3.28236,0
2486.84,3.25947,0
2503.3,3.23718,0
2519.77,3.21546,0
2536.24,3.19431,0
2552.71,3.17371,0
2569.18,3.15367,0
2585.65,3.13416,0
2602.12,3.11519,0
2618.59,3.09673,0
2635.06,3.07878,0
2651.53,3.06133,0
2668,3.04437,0
2684.46,3.02788,0
2700.93,3.01187,0
2717.4,2.99632,0
2733.87,2.98123,0
2750.34,2.96657,0
2766.81,2.95235,0
2783.28,2.93855,0
2799.75,2.92517,0
2816.22,2.91219,0
2832.69,2.89961,0
2849.16,2.88742,0
2865.62,2.87561,0
2882.09,2.86417,0
2898.56,2.8531,0
2915.03,2.84237,0
2931.5,2.83199,0
2947.97,2.82195,0
2964.44,2.81224,0
2980.91,2.80285,0
2997.38,2.79377,0
3013.85,2.785,0
3030.32,2.77652,0
3046.79,2.76833,0
3063.25,2.76042,0
3079.72,2.75278,0
3096.19,2.74541,0
3112.66,2.73829,0
3129.13,2.73143,0
3145.6,2.7248,0
3162.07,2.71841,0
3178.54,2.71225,0
3195.01,2.70631,0
3211.48,2.70058,0
3227.95,2.69506,0
3244.41,2.68973,0
3260.88,2.68459,0
3277.35,2.67964,0
3293.82,2.67487,0
3310.29,2.67027,0
3326.76,2.66583,0
3343.23,2.66155,0
3359.7,2.65742,0
3376.17,2.65344,0
3392.64,2.64959,0
3409.11,2.64587,0
3425.57,2.64228,0
3442.04,2.63881,0
3458.51,2.63545,0
3474.98,2.6322,0
3491.45,2.62904,0
3507.92,2.62599,0
3524.39,2.62302,0
3540.86,2.62013,0
3557.33,2.61732,0
3573.8,2.61458,0
3590.27,2.61191,0
3606.73,2.6093,0
3623.2,2.60675,0
3639.67,2.60424,0
3656.14,2.60178,0
3672.61,2.59936,0
3689.08,2.59697,0
3705.55,2.59461,0
3722.02,2.59227,0
3738.49,2.58996,0
3754.96,2.58765,0
3771.43,2.58536,0
3787.89,2.58307,0
3804.36,2.58079,0
3820.83,2.57849,0
3837.3,2.57619,0
3853.77,2.57388,0
3870.24,2.57154,0
3886.71,2.56919,0
3903.18,2.56681,0
3919.65,2.56439,0
3936.12,2.56195,0
3952.59,2.55946,0
3969.06,2.55693,0
3985.52,2.55436,0
4001.99,2.55174,0
4018.46,2.54906,0
4034.93,2.54632,0
4051.4,2.54353,0
4067.87,2.54067,0
4084.34,2.53774,0
4100.81,2.53474,0
4117.28,2.53166,0
4133.75,2.52851,0
4150.22,2.52527,0
4166.68,2.52196,0
4183.15,2.51855,1
4199.62,2.51506,0
4216.09,2.51147,0
4232.56,2.50779,0
4249.03,2.50401,0
4265.5,2.50013,0
4281.97,2.49614,0
4298.44,2.49205,0
4314.91,2.48785,0
4331.38,2.48354,0
4347.84,2.47912,0
4364.31,2.47458,0
4380.78,2.46993,0
4397.25,2.46515,0
4413.72,2.46026,0
4430.19,2.45524,0
4446.66,2.45009,0
4463.13,2.44482,0
4479.6,2.43942,0
4496.07,2.43389,0
4512.54,2.42823,0
4529,2.42244,0
4545.47,2.41651,0
4561.94,2.41045,0
4578.41,2.40425,0
4594.88,2.39791,0
4611.35,2.39143,0
4627.82,2.38481,0
4644.29,2.37805,0
4660.76,2.37114,0
4677.23,2.3641,0
4693.7,2.35691,0
4710.16,2.34957,0
4726.63,2.34209,0
4743.1,2.33447,0
4759.57,2.32669,0
4776.04,2.31878,0
4792.51,2.31071,0
4808.98,2.3025,0
4825.45,2.29414,0
4841.92,2.28563,0
4858.39,2.27697,0
4874.86,2.26817,0
4891.33,2.25922,0
4907.79,2.25012,0
4924.26,2.24088,0
4940.73,2.23149,0
4957.2,2.22195,0
4973.67,2.21227,0
4990.14,2.20244,0
5006.61,2.19247,0
5023.08,2.18235,0
5039.55,2.17209,0
5056.02,2.16169,0
5072.49,2.15114,0
5088.95,2.14046,0
5105.42,2.12964,0
5121.89,2.11867,0
5138.36,2.10757,0
5154.83,2.09634,0
5171.3,2.08497,0
5187.77,2.07347,0
5204.24,2.06183,0
5220.71,2.05007,0
5237.18,2.03817,0
5253.65,2.02616,0
5270.11,2.01401,0
5286.58,2.00174,0
5303.05,1.98935,0
5319.52,1.97684,0
5335.99,1.96422,0
5352.46,1.95148,0
5368.93,1.93862,0
5385.4,1.92566,0
5401.87,1.91259,0
5418.34,1.89941,0
5434.81,1.88612,0
5451.27,1.87274,0
5467.74,1.85926,0
5484.21,1.84568,0
5500.68,1.83201,0
5517.15,1.81825,0
5533.62,1.8044,0
5550.09,1.79047,0
5566.56,1.77646,0
5583.03,1.76237,0
5599.5,1.74821,0
5615.97,1.73397,0
5632.44,1.71967,0
5648.9,1.7053,0
5665.37,1.69087,0
5681.84,1.67638,0
5698.31,1.66184,0
5714.78,1.64725,0
5731.25,1.63261,0
5747.72,1.61793,0
5764.19,1.60321,0
5780.66,1.58846,0
5797.13,1.57368,0
5813.6,1.55887,0
5830.06,1.54403,0
5846.53,1.52918,0
5863,1.51432,0
