Dystans (m),Wysokosc (m),Wezel
0,520.283,1
4.85043,526.973,0
9.70085,515.27,0
14.5513,491.199,0
19.4017,459.575,0
24.2521,424.189,0
29.1026,387.964,0
33.953,353.098,0
38.8034,321.186,0
43.6538,293.322,0
48.5043,270.2,0
53.3547,252.182,0
58.2051,239.377,0
63.0555,231.691,0
67.906,228.879,0
72.7564,230.585,0
77.6068,236.379,0
82.4572,245.785,0
87.3077,258.299,0
92.1581,273.416,0
97.0085,290.636,0
101.859,309.484,0
106.709,329.511,0
111.56,350.305,0
116.41,371.492,0
121.261,392.741,0
126.111,413.762,0
130.961,434.309,0
135.812,454.174,0
140.662,473.193,0
145.513,491.234,0
150.363,508.203,0
155.214,524.036,0
160.064,538.696,0
164.914,552.172,1
169.765,564.474,0
174.615,575.631,0
179.466,585.688,0
184.316,594.701,0
189.167,602.737,0
194.017,609.869,0
198.867,616.178,0
203.718,621.745,0
208.568,626.654,0
213.419,630.988,0
218.269,634.829,0
223.12,638.254,0
227.97,641.338,0
232.82,644.151,0
237.671,646.757,0
242.521,649.216,0
247.372,651.579,0
252.222,653.893,0
257.073,656.199,0
261.923,658.53,0
266.773,660.913,0
271.624,663.372,0
276.474,665.922,0
281.325,668.575,1
286.175,671.337,0
291.026,674.21,0
295.876,677.194,0
300.726,680.281,0
305.577,683.465,1
310.427,686.735,1
315.278,690.077,0
320.128,693.477,0
324.979,696.92,0
329.829,700.388,0
334.679,703.865,0
339.53,707.333,0
344.38,710.777,0
349.231,714.178,0
354.081,717.521,0
358.932,720.793,0
363.782,723.978,0
368.632,727.064,0
373.483,730.04,0
378.333,732.898,0
383.184,735.628,0
388.034,738.225,0
392.884,740.684,0
397.735,743.001,0
402.585,745.175,0
407.436,747.205,0
412.286,749.094,0
417.137,750.844,1
421.987,752.458,0
426.837,753.942,0
431.688,755.303,0
436.538,756.546,0
441.389,757.68,0
446.239,758.714,0
451.09,759.656,0
455.94,760.517,0
460.79,761.306,0
465.641,762.032,0
470.491,762.706,0
475.342,763.339,0
480.192,763.939,0
485.043,764.516,0
489.893,765.08,0
494.743,765.639,0
499.594,766.201,0
504.444,766.775,0
509.295,767.367,1
514.145,767.983,0
518.996,768.63,0
523.846,769.312,0
528.696,770.033,0
533.547,770.798,0
538.397,771.608,0
543.248,772.466,0
548.098,773.373,0
552.949,774.329,0
557.799,775.335,0
562.649,776.389,0
567.5,777.491,0
572.35,778.638,0
577.201,779.828,0
582.051,781.058,0
586.902,782.325,0
